text,predicted_category,risk_score,confidence,sentiment_label,sentiment_score,alert_level,top_keywords,key_entities,analyst_summary
"Ever since Craig Rowland posted his piece ""New Encryption"" to sci.crypt there has been some discussion of our company, Secured Communications Technologies, Inc, and on encryption algorithm, NEA. I spoke to Craig at length on 4/21/93 and we covered a lot of gro…",Cyber,84.1,0.989,positive,1.0,High,"['encryption', 'algorithm', 'nea', 'encryption algorithm', 'export', 'communications', 'company', 'approval']","['Craig Rowland (PERSON)', 'Secured Communications Technologies, Inc (ORG)', 'NEA (ORG)', 'Craig (PERSON)', 'SCT (ORG)', 'Silver Spring (GPE)', 'Maryland (GPE)', 'SECOM (GPE)']","Cyber signal detected. Key terms: encryption, algorithm, nea, encryption algorithm, export, communications."
" If the Clipper chip can do cheap crypto for the masses, obviously one could do the same thing WITHOUT building in back doors. Indeed, even without special engineering, you can construct a good system right now. A standard codec chip, a chip to do vocoding, a …",Cyber,83.9,0.987,positive,1.0,High,"['cheap', 'chip', 'crypto', 'right', 'clipper chip', 'strong cryptography', 'strong', 'processor']","['modem module (ORG)', 'the White House (ORG)', 'Qualcomm (PERSON)', 'CDMA (ORG)', 'NSA (ORG)']","Cyber signal detected. Key terms: cheap, chip, crypto, right, clipper chip, strong cryptography."
"Archive-name: cryptography-faq/part01 Last-modified: 1993/4/15 FAQ for sci.crypt, part 1: Overview This is the first of ten parts of the sci.crypt FAQ. The parts are mostly independent, but you should read this part before the rest. We don't have the time to s…",Cyber,83.9,0.986,neutral,-0.111,High,"['crypt', 'faq', 'ciphers', 'cryptography', 'sci', 'sci crypt', 'key', 'product']","['FAQ (ORG)', 'the Crypt Cabal (ORG)', 'Eric Bach (PERSON)', 'Steve Bellovin (PERSON)', 'Dan Bernstein (PERSON)', 'Nelson Bolyard (PERSON)', 'Carl Ellison (PERSON)', 'Jim Gillogly (PERSON)']","Cyber signal detected. Key terms: crypt, faq, ciphers, cryptography, sci, sci crypt."
" A nice formulation for the introduction of the first encryption devices with built-in trapdoors - just like the Feds wanted... Bla-bla. Indeed, and the current proposal does nothing to prevent the latter. This doesn't say much. There are many incredibly weak …",Cyber,83.7,0.985,positive,0.6,High,"['strong crypto', 'encryption', 'crypto', 'technology', 'devices', 'strong', 'criminals', 'government']","['today (DATE)', 'NSA (ORG)', 'Mafia (ORG)']","Cyber signal detected. Key terms: strong crypto, encryption, crypto, technology, devices, strong."
" From the limited details released so far, It seems that the clipper chip system must employ some sort of public key cryptography. Otherwise, the key management problems inherent to symetric ciphers would make the system unworkable. It probably has some sort o…",Cyber,83.7,0.985,negative,-1.0,High,"['algorythm', 'key', 'public key', 'dont', 'public', 'keys', 'crypto', 'inherent']","['NSA (ORG)', 'RSA (ORG)', 'PKP & RSADSI (ORG)', 'U.S. (GPE)', 'Q&A (ORG)']","Cyber signal detected. Key terms: algorythm, key, public key, dont, public, keys."
" Not necessarily. I've been thinking about this, and if this chip/scheme is to provide any real security, there must be some sort of key exchange, either using a public-key encryption scheme, or using a key exchange scheme like Diffie-Hellman. If there's an ou…",Cyber,83.5,0.983,positive,1.0,High,"['key', 'scheme', 'online', 'session key', 'public', 'public key', 'copy public', 'session']",['Diffie-Hellman (ORG)'],"Cyber signal detected. Key terms: key, scheme, online, session key, public, public key."
"I received the following two notes from Martin Hellman with details on how Clipper will work. They are posted with his permission. The implications of some details are fascinating. ------- Date: Sat, 17 Apr 93 23:05:23 PDT From: ""Martin Hellman"" <hellman@isl.s…",Cyber,83.5,0.983,neutral,0.0,High,"['key', 'hellman', 'unit', 'uk', 'k1 k2', 'message', 'k2', 'sk']","['Martin Hellman (PERSON)', 'Friday (DATE)', 'NY Times (ORG)', 'NIST (ORG)', 'National Institute of Standards & Technology (ORG)', 'Agency (ORG)', 'Dennis Branstad (PERSON)', 'Silicon (LOC)']","Cyber signal detected. Key terms: key, hellman, unit, uk, k1 k2, message."
"Having read the various ""Clipper"" announcements on the net over the last few days and a LOT of uninformed speculation about the chip, its uses, government plots, etc, I have the following questions. 1) What does the ""Clipper chip"" actually implement? Just the …",Cyber,83.2,0.979,neutral,0.0,High,"['chip', 'implement', 'communications', 'chip chip', 'does', 'secret', 'family key', 'protocol']","['the last few \ndays (DATE)', 'LOT (ORG)', 'Raymond S. Brand (PERSON)', 'rbrand@usasoc.soc.mil (GPE)']","Cyber signal detected. Key terms: chip, implement, communications, chip chip, does, secret."
" I can't answer all our questions in detail, but I can take a stab at them. The form the operations that compute R1, R2, and R3 is, of course, the famous ``triple encryption'' suggested for use with DES. It's much stronger than a single encryption, and has an …",Cyber,82.5,0.97,negative,-1.0,High,"['answer', 'nsa', 'values', 'think', 'scheme', 'issue', 'triple', 'question']","['R2 (PERSON)', 'IBM (ORG)', 'n_2 (GPE)', 'Hamming (ORG)', 'U_i (ORG)', 'NSA (ORG)', 'U (ORG)', 'NIST (ORG)']","Cyber signal detected. Key terms: answer, nsa, values, think, scheme, issue."
"One presumes the system could work as follows: a) Blank clips are manufactured by Mykotronx and VLSI. The number produced is carefully audited and they are shipped to the first escrow house. It programs the chips with its half the key, and prints out a paper s…",Cyber,82.4,0.969,neutral,0.0,High,"['key', 'chip', 'escrow house', 'pkp', 'escrow', 'rsa', 'public key', 'paper']","['Mykotronx (GPE)', 'VLSI (ORG)', '1997 (DATE)', 'RSA (ORG)']","Cyber signal detected. Key terms: key, chip, escrow house, pkp, escrow, rsa."
"Since the wiretap chip is being distributed internationally, allowing the U.S. government to spy on foreign governments, companies and people as as well as to wiretap domestic citizens, this is a world-wide issue. Please put DISTRIBUTION: WORLD on the Distrubu…",Cyber,81.8,0.963,neutral,0.0,High,"['privacy', 'chip', 'computer', 'hard core', 'wiretap', 'telephones', 'hacker', 'hackers']","['U.S. (GPE)', 'RSA (ORG)', 'ASIC (ORG)']","Cyber signal detected. Key terms: privacy, chip, computer, hard core, wiretap, telephones."
": From: pmetzger@snark.shearson.com (Perry E. Metzger) : Indeed, were it not for the government doing everything possible to : stop them, Qualcomm would have designed strong encryption right in to : the CDMA cellular phone system they are pioneering. Were it n…",Cyber,81.8,0.962,positive,1.0,High,"['phone', 'possible', 'cheap', 'crypto', 'secure', 'stop', 'encryption', 'secure phone']","['pmetzger@snark.shearson.com (ORG)', 'Perry E. Metzger (PERSON)', 'Qualcomm (PERSON)', 'CDMA (ORG)', 'NSA (ORG)', 'UK (GPE)', 'BT (GPE)']","Cyber signal detected. Key terms: phone, possible, cheap, crypto, secure, stop."
" So far, the medical examiner (according to the news) has found NO EVIDENCE of gunshot wounds in bodies so far examined. If this continues to be the case, it will sort of shoot holes (pun intended) in the FBI story, wouldn't it? And cartridges going off outsid…",Physical Threat,81.5,0.815,negative,-1.0,High,"['investigation', 'bullet', 'powers', 'independent', 'fbi', 'coat', 'penetrate', 'phrase like']","['FBI (ORG)', 'BATF (ORG)', 'the\nDept of Justice (ORG)']","Physical Threat signal detected. Key terms: investigation, bullet, powers, independent, fbi, coat."
" Taking this at face value (though it seems quite dissonant with much else that has been published here about brute force DES cracking, unless Russell was lucky with respect to the key), I'd be very interested in whether the program Russell used is available? …",Cyber,80.9,0.952,negative,-1.0,High,"['des', 'russell', 'used', 'rsa', 'machine', 'program', 'message', 'tricks']","['Russell (PERSON)', 'RSA (ORG)', 'RSA/IDEA (ORG)', 'a couple of days (DATE)', 'NSA (ORG)', 'David (PERSON)']","Cyber signal detected. Key terms: des, russell, used, rsa, machine, program."
" I think it was - he went into town fairly often, and was known to go jogging. This was even during the 9 month period when he was being watched. One wonders why the BATF went ahead, when they had been warned according to an interview with a BATF agent, that t…",Physical Threat,80.9,0.809,neutral,0.0,High,"['batf', 'investigation', 'water', 'independent', 'acts', 'wonders', 'felony', 'think going']","['the 9 month period (DATE)', 'BATF (GPE)', 'BATF (ORG)', 'BD (ORG)', 'FBI (ORG)', 'SHOWED (ORG)']","Physical Threat signal detected. Key terms: batf, investigation, water, independent, acts, wonders."
"*** SOURCE code to Macintosh PGP 2.2 now available via anonymous FTP *** FTP netcom.com CD pub/grady MGET MacPGP2.2src.sea.hqx MGET MacPGP2.2srcSIGNATURE Convert to a Compact Pro self-extracting archive with BinHex 4.0. If appropriate, check the digital signat…",Cyber,80.7,0.949,positive,1.0,High,"['pgp', 'public keys', 'public', 'ftp', 'keys', 'pgp public', 'edu', 'perry']","['FTP (ORG)', 'Convert (PERSON)', 'PGP (ORG)', 'Non-Macintosh (ORG)', 'Macintosh (ORG)', 'ITAR (ORG)', '68020 (DATE)', 'Pretty\nGood Privacy (ORG)']","Cyber signal detected. Key terms: pgp, public keys, public, ftp, keys, pgp public."
 Here's a simple way to convert the Clipper proposal to an unexceptionable one: Make it voluntary. That is--you get high quality secure NSA classified technology if you agree to escrow your key. Otherwise you are on your own. That's the disturbing part - use o…,Cyber,80.4,0.945,positive,1.0,High,"['alternatives', 'crypto', 'voluntary', 'export', 'commercial', 'cellular', 'equipment', 'escrow']","['NSA (ORG)', ""the White House's (ORG)"", 'Joe (PERSON)']","Cyber signal detected. Key terms: alternatives, crypto, voluntary, export, commercial, cellular."
" Each chip includes the following components: the Skipjack encryption algorithm F, an 80-bit family key that is common to all chips N, a 30-bit serial number U, an 80-bit secret key that unlocks all messages encrypted with the chip Hmmm. A thirty bit serial nu…",Cyber,80.3,0.945,positive,0.333,High,"['s1', 's1 s2', 's2', 'u1', 'u2', 'bit', 'unit', 'serial number']","['N (ORG)', 'U (ORG)', 'R2 (DATE)', 'R2 (PERSON)', 'U2 (ORG)', 'S1 (ORG)', 'S2 (PERSON)', 'N. (PERSON)']","Cyber signal detected. Key terms: s1, s1 s2, s2, u1, u2, bit."
" Is the license required for driving a car exclusively on private property, such as a farm? Here in the United States, the license is required only for the use of public roads. We also have a nation of 250 million people, _many_ issues and usually only two can…",Physical Threat,80.1,0.801,neutral,0.0,High,"['gun', 'guns', 'gun control', 'control laws', 'laws', 'control', 'way deal', 'average']","['the United States (GPE)', 'New York (GPE)', 'Chicago (GPE)', 'America (GPE)']","Physical Threat signal detected. Key terms: gun, guns, gun control, control laws, laws, control."
" > :Thousands? Tens of thousands? Do some arithmetic, please... Skipjack > :has 2^80 possible keys. > > We don't yet know if all 80 bits count. That doesn't worry me at all; they're not going to cheat at something they can get caught at. And key size is one of…",Cyber,80.0,0.942,positive,1.0,High,"['bits', 'key', 'output', 'sore', 'cheat', 'key bits', 'random key', 'externally']","['Feed (PERSON)', 'NSA (ORG)', 'XORing (ORG)', '47 (DATE)']","Cyber signal detected. Key terms: bits, key, output, sore, cheat, key bits."
"betz@gozer.idbsu.edu The FBI and Koresh were calling the shots. And there were very sane reasons for keeping the children, if they let them go, the parents would NEVER see them again. That is not an easy choice, in spite of you cold attitude about it. I am a c…",Physical Threat,79.6,0.796,neutral,0.0,High,"['fbi', 'worshiper', 'excerpts', 'easy', 'shots', 'keeping', 'obviously', 'koresh']","['FBI (ORG)', 'Koresh (GPE)', 'NEVER (ORG)', 'BATF (ORG)', 'Flames (ORG)', 'Jim (PERSON)']","Physical Threat signal detected. Key terms: fbi, worshiper, excerpts, easy, shots, keeping."
"-----BEGIN PGP SIGNED MESSAGE----- [...] [...] As far as I can see, no matter how the session keys are generated (be it Diffie-Hellman or whatever), any Cripple conversation which travels in whole or in part over a land-line is vulnerable to this scheme. Law- …",Cyber,79.6,0.937,negative,-1.0,High,"['phone', 'cripple', 'begin pgp', 'line', 'pgp', 'public key', 'begin', 'scheme']","['-----BEGIN PGP SIGNED MESSAGE----- (PERSON)', 'Diffie-Hellman (ORG)', 'Cripple (ORG)', 'Cripple (PERSON)', 'PGP SIGNATURE----- (ORG)']","Cyber signal detected. Key terms: phone, cripple, begin pgp, line, pgp, public key."
" What if....... What if the FBI thought that tear gas would force the Davidians out; at least the mothers and the children, so they (the FBI) did not bother to think about the effect of tear gas on young children...... What if the FBI knew they killed several …",Physical Threat,79.6,0.796,neutral,0.0,High,"['fbi', 'tear gas', 'tear', 'davidians', 'children', 'gas', 'killed', 'knew']",['FBI (ORG)'],"Physical Threat signal detected. Key terms: fbi, tear gas, tear, davidians, children, gas."
"-----BEGIN PGP SIGNED MESSAGE----- >So, don't just think of replacements for clipper, also think of front >ends. This only makes sense if the government prohibits alternative non-escrowed encryption schemes. Otherwise, why not just use the front end without cl…",Cyber,79.2,0.932,neutral,0.0,High,"['pgp', 'pgp signature', 'begin pgp', 'signature', 'begin', 'david', 'clipper', 'derek pgp']","['-----BEGIN PGP SIGNED (PERSON)', 'David\n\nDavid (PERSON)', 'PGP SIGNATURE----- (ORG)']","Cyber signal detected. Key terms: pgp, pgp signature, begin pgp, signature, begin, david."
A few comments on the ATF's botched handling of this case: 1. Attempting to storm the compound in broad daylight? The explanation we were given (at least at one point) was that they thought the cult members would be at religious services. My only comment on th…,Physical Threat,78.9,0.789,negative,-1.0,High,"['cultists', 'bd', 'assault', 'ag', 'batf', 'military', 'siege', 'told']","['ATF (ORG)', 'BATF (ORG)', 'years (DATE)', 'a couple of weeks ago (DATE)', 'Crockett (ORG)', 'Tubbs (GPE)', 'Waco (PERSON)', 'the World Trade Center (ORG)']","Physical Threat signal detected. Key terms: cultists, bd, assault, ag, batf, military."
" As usual, David Sternlight is demonstrating his inability to read. The proposal clearly states: => The initiative will involve the creation of new products to => accelerate the development and use of advanced and secure => telecommunications networks and wire…",Cyber,78.9,0.928,positive,1.0,High,"['proposal', 'guaranteed', 'eavesdrop', 'secure', 'government', 'breakable', 'david sternlight', 'sternlight']","['David Sternlight (PERSON)', 'David (PERSON)', 'Nah (PERSON)', 'tomorrow (DATE)']","Cyber signal detected. Key terms: proposal, guaranteed, eavesdrop, secure, government, breakable."
" I hope there is something I don't understand about this system, but can someone tell me how these chips are going to be manufactured while maintaining each half key under total control of the separate escrow agencies? Don't both halfs of the key have to come …",Cyber,78.8,0.927,neutral,0.0,High,"['key', 'agency', 'escrow', 'maintaining', '1st', '2nd', 'program', 'chip']",['the 1st (DATE)'],"Cyber signal detected. Key terms: key, agency, escrow, maintaining, 1st, 2nd."
" What they would need to do, though, is make sure that nobody has access to decent crypto in the first place. They probably can't tell Clippered voice from Clippered triple-DESed voice until they get their copy of your key. Any criminal who's going to use encr…",Cyber,78.8,0.927,negative,-1.0,High,"['voice', 'detect', 'encryption', 'use', 'use illegal', 'old fashioned', 'transmitting', 'fashioned']","['NSA (ORG)', 'mike (PERSON)']","Cyber signal detected. Key terms: voice, detect, encryption, use, use illegal, old fashioned."
"Archive-name: net-privacy/part1 Last-modified: 1993/3/3 Version: 2.1 IDENTITY, PRIVACY, and ANONYMITY on the INTERNET ================================================ (c) 1993 L. Detweiler. Not for commercial use except by permission from author, otherwise may…",Cyber,78.5,0.924,positive,0.543,High,"['internet', 'anonymous', 'anonymity', 'privacy', 'email', 'identity', 'information', 'sites']","['IDENTITY (ORG)', 'PRIVACY (ORG)', 'ANONYMITY (ORG)', 'L. Detweiler (PERSON)', 'sysadmin (GPE)', 'Resourc (PERSON)']","Cyber signal detected. Key terms: internet, anonymous, anonymity, privacy, email, identity."
" I tend to agree, but I would like a better explanation of why the FBI stopped the firetrucks at the gate. I saw this in realtime. It concerns me that the FBI ""appeared"" to not be too interested in stopping the fire after it started, and actually started flyin…",Physical Threat,77.5,0.775,neutral,0.0,High,"['started', 'fbi', 'like better', 'tend agree', 'realtime', 'gate', 'winds', 'jim jmd']","['FBI (ORG)', 'Jim (PERSON)']","Physical Threat signal detected. Key terms: started, fbi, like better, tend agree, realtime, gate."
"From: pmetzger@snark.shearson.com (Perry E. Metzger) Each chip includes the following components: the Skipjack encryption algorithm F, an 80-bit family key that is common to all chips N, a 30-bit serial number U, an 80-bit secret key that unlocks all messages …",Cyber,77.5,0.912,neutral,0.0,High,"['serial', 'bit', 'serial number', 'bit serial', '80 bit', 'key', 'number', 'unit']","['pmetzger@snark.shearson.com (ORG)', 'Perry E. Metzger (PERSON)', 'Hmmm (GPE)', 'U (ORG)']","Cyber signal detected. Key terms: serial, bit, serial number, bit serial, 80 bit, key."
 The point that I forgot to bring up here (and this has nothing to do with being a gang member or not) is that it is illegal to carry a concealed weapon in this area (or in the state of illinois for that matter). This is not to say that people in Illinois don'…,Physical Threat,77.4,0.774,negative,-1.0,High,"['carry', 'carry concealed', 'illinois', 'concealed', 'don carry', 'big trouble', 'carry gun', 'gun self']","['illinois (GPE)', 'Illinois (GPE)']","Physical Threat signal detected. Key terms: carry, carry concealed, illinois, concealed, don carry, big trouble."
"Well, it now seems obvious what Professor Denning was doing last fall when this key escrow trial balloon was raised! All the more need for end-to-end encryption schemes that bypass the government-approved system. By the way, the ""Clipper"" name...isn't this alr…",Cyber,77.1,0.908,positive,1.0,High,"['clipper', 'balloon', 'bypass', 'encryption schemes', 'end', 'government approved', 'end end', 'intergraph']","['Denning (PERSON)', 'last fall (DATE)', 'Intergraph (ORG)']","Cyber signal detected. Key terms: clipper, balloon, bypass, encryption schemes, end, government approved."
" ^^^^^^^^^^^^^^^^^^^\ Great... nice choice of bad guys to convince everyone how ""bad"" unrestricted encryption is. Why not use a child molester instead? Of course, the word *suspect* is never used here, so I guess these people have already been convicted and ar…",Cyber,76.9,0.904,neutral,0.0,High,"['inconvenient', 'law enforcement', 'enforcement', 'sure', 'law', 'security', 'instead', 'encryption']","['Kinda (GPE)', 'SUPPOSED (GPE)', 'two months (DATE)', 'weeks (DATE)', 'a decade or so (DATE)']","Cyber signal detected. Key terms: inconvenient, law enforcement, enforcement, sure, law, security."
 Two notes of interest from Texas: The Tarrant Couonty ME (who is doing the autopsies) is well known for rendering judgements that are contrary to the police view. He presented evidence a few years ago that a man who police said was pointing a gun at them actu…,Physical Threat,76.7,0.767,neutral,0.0,High,"['atf', 'cops', 'texas', 'police', 'notes', 'waco', 'saftey', 'automatic weapon']","['Texas (GPE)', 'a few\nyears ago (DATE)', 'The Texas Dept (ORG)', 'the Texas Rangers (ORG)', 'ATF (ORG)', 'BD (ORG)', 'Waco (GPE)', 'Waco (PERSON)']","Physical Threat signal detected. Key terms: atf, cops, texas, police, notes, waco."
"Secrecy in Clipper Chip The serial number of the clipper chip is encrypted with the system key and transmitted as one part of a three part message. Presumably the protocol can be recovered (if by nothing else, differential analysis). Postulate if you will, a c…",Cyber,76.1,0.895,neutral,0.0,High,"['serial', 'serial number', 'number', 'chip', 'channel', 'lie', 'spoof', 'keying']",['Postulate (PERSON)'],"Cyber signal detected. Key terms: serial, serial number, number, chip, channel, lie."
"-----BEGIN PGP SIGNED MESSAGE----- The point you all seem to have missed was covered when the UK cellphone scrambling system was discussed. Incidentally, my MP has responded to my questions on that issue, and it appears that the UK and other `approved' countri…",Cyber,75.8,0.891,positive,1.0,High,"['cellular', 'station', 'base', 'listen', 'warrant', 'need warrant', 'warrant tap', 'equipment']","['-----BEGIN PGP SIGNED (PERSON)', 'UK (GPE)', 'McCarthy (PERSON)', 'J. Edgar (PERSON)', 'Nixon (PERSON)', 'PGP SIGNATURE----- (ORG)']","Cyber signal detected. Key terms: cellular, station, base, listen, warrant, need warrant."
"How about this: The TelCo has your Clipper key. The TelCo has your intended partner's key, if he is using one. Whenever you call, the message gets decrypted and reencrypted wihtout y key exchange. I know it's a stupid system, but for the feds, it'd be great. T…",Cyber,75.7,0.89,neutral,0.0,High,"['telco', 'key', 'crypto', 'hip', 'billions dollars', 'government agency', 'billions', 'thing']","['TelCo (ORG)', 'isn;t (PERSON)', 'Clinton (PERSON)', 'Busch (ORG)']","Cyber signal detected. Key terms: telco, key, crypto, hip, billions dollars, government agency."
 : The issue has never been whether tanks were used in Detroit in 1967. It : has been whether they fired their main guns. Never? This is incorrect. Either you don't read very well or resort to falsehoods in an attempt to make a point. At the risk of boring and…,Physical Threat,75.6,0.756,negative,-1.0,High,"['tanks', 'detroit', 'main', 'fired', 'claimed', 'guns', 'claim', 'did']","['Detroit (GPE)', '1967 (DATE)', 'Coffman (PERSON)', 'post-48 (DATE)', 'Gary Coffman (PERSON)', 'Gee (PERSON)', 'Quite (PERSON)', '1968 (DATE)']","Physical Threat signal detected. Key terms: tanks, detroit, main, fired, claimed, guns."
"The ATF agent interviewed on ""Street Stories"" reported that the raid was ill planned, and went ahead even when they (the BD's) knew the ATF was coming. WHY? I believe this raid was ill planned because they only had 2 days to plan it, and it was continued when …",Physical Threat,75.2,0.752,negative,-1.0,High,"['atf', 'street stories', 'ban', 'agenda', 'assault weapon', 'feb', 'assembly', 'vote']","['ATF (ORG)', 'BD (ORG)', '2 days (DATE)', 'Clinton (PERSON)', 'Street Stories (ORG)', 'Waco (GPE)', 'Feb. 25th (DATE)', 'New Jersey (GPE)']","Physical Threat signal detected. Key terms: atf, street stories, ban, agenda, assault weapon, feb."
" Not to mention last year's Weaver affair. Anyway, here's how I see the Waco affair; I'd be interested in other peoples' interpretations... 1. Koresh and his people were basically minding their own business. 2. Some weapons violations may have been committed a…",Physical Threat,74.9,0.749,neutral,0.0,High,"['affair', 'violations', 'tear gas', 'tear', 'responsible', 'koresh', 'gas', 'just leave']","[""last year's (DATE)"", 'Waco (PERSON)', 'BATF (ORG)', 'FBI (ORG)', '10-20 years (DATE)']","Physical Threat signal detected. Key terms: affair, violations, tear gas, tear, responsible, koresh."
"HB 1776 is for Concealed Carry in Texas. It provides for licensing citizens to carry concealed firearms if they pass an instruction course (30 hours, if I remember correctly), pay a $140 fee (good for 4 years), and meet several other criteria related to person…",Physical Threat,74.6,0.746,neutral,0.0,High,"['criteria', 'concealed', 'carry', 'hb', 'daryl', '1776', 'remember correctly', 'carry concealed']","['1776 (DATE)', 'Texas (GPE)', '4 years (DATE)', 'HCI (PERSON)', 'Daryl (PERSON)']","Physical Threat signal detected. Key terms: criteria, concealed, carry, hb, daryl, 1776."
